6317,10,noVarroa,varroa
1.494696815697904e-07,0.0,1.6607742396643377e-08,1.0,0.61764705,0.6820513,0.7293578,7.253232038202004,3.4072532926097527,2.9973947020704497,0
5.812709838825182e-08,2.7668976106471747e-08,1.078754971642635e-07,0.9665469094769616,0.5176471,0.62051284,0.69266057,2.1487866228681907,2.216659704806667,2.2166597048066667,0
6.643096958657351e-08,6.239831676703447e-08,7.673178300055222e-08,0.5819837682522024,0.5117647,0.6,0.6834862,2.3392781412697,1.9720265943665385,1.247219128924647,0
2.491161359496506e-07,7.384413795633529e-08,1.4055484496414435e-07,0.8508701960681135,0.5,0.6051282,0.6788991,3.8232556742411674,3.366501646120693,2.7932900199947857,0
3.3215484793286753e-08,2.6061990580218018e-08,4.725449975298554e-08,0.8341590260424591,0.4764706,0.61538464,0.6834862,2.1343747458109497,1.5986105077709065,1.5723301886761007,0
6.643096958657351e-08,4.8837755430333926e-08,5.5826471124764923e-08,0.4844596874337463,0.5294118,0.62051284,0.69266057,0.4714045207910317,0.4714045207910317,0.4714045207910317,0
7.47348407848952e-08,3.797095364118769e-08,2.2581072388125912e-07,0.9857607550892461,0.48235294,0.6051282,0.67431194,3.0413812651491097,2.277608394786075,1.7853571071357126,0
1.96801747400224e-06,2.530960667704954e-07,3.0607322172429615e-07,0.5623292005337223,0.5058824,0.63589746,0.6880734,3.6885149223522276,3.115175097187005,2.8170411507132367,0
5.646632414858748e-07,1.1976013247758186e-07,1.1976013247758186e-07,0.0,0.49411765,0.6,0.67431194,2.7386127875258306,1.920286436967152,1.6583123951777,0
3.3215484793286753e-08,2.6062523145657324e-08,4.7254182985438e-08,0.8341491298252621,0.6,0.6717949,0.7293578,3.715582801601326,3.2145502536643185,2.7487370837451066,0
2.159006511563639e-07,6.579145946362116e-08,1.284345662722085e-07,0.8588324249215191,0.5352941,0.61538464,0.6880734,2.1147629234082532,2.059867849051379,1.1873172373979173,0
9.134258318153857e-08,6.944357942829631e-08,1.273780356325096e-07,0.8383209430802607,0.5,0.62051284,0.6788991,1.479019945774904,1.3819269959814167,1.2555432644432805,0
1.1625419677650364e-07,6.005995852904082e-08,8.655247184271941e-08,0.7200580363712973,0.49411765,0.5948718,0.6788991,3.356382892705923,2.920721185751553,2.32992949004287,0
7.47348407848952e-08,3.681577762758946e-08,7.39574932232237e-08,0.8672938911880039,0.5176471,0.63589746,0.69266057,2.140872096444188,2.285218200133681,1.5986105077709065,0
8.303871198321688e-09,4.139094238742869e-08,4.5522339570725686e-08,0.41626220016474386,0.31764707,0.46666667,0.5504587,10.887755043007866,10.306416555826871,10.370899457402697,0
3.2385097673454583e-07,7.980760380638732e-08,3.251675260156457e-07,0.9694129623705318,0.5058824,0.62564105,0.69266057,2.094967514996089,1.114924013354971,1.1785113019775793,0
8.303871198321688e-09,4.0645893236823584e-08,1.6605529775323784e-07,0.9695803530494058,0.4882353,0.61538464,0.6834862,0.7284313590846836,0.6998542122237652,0.6998542122237652,0
1.1625419677650364e-07,3.943445138759295e-08,4.758486850710158e-08,0.5596659516271779,0.5294118,0.61538464,0.6972477,0.6871842709362769,1.118033988749895,0.3726779962499649,0
3.3215484793286753e-08,2.419847481518061e-08,1.0874142085141683e-07,0.9749253255949184,0.44705883,0.5897436,0.6651376,3.116774889895918,2.657296462534039,3.238795442501324,0
4.982322718993013e-08,2.622745410867731e-08,8.688991639192871e-08,0.9533564043126069,0.49411765,0.62564105,0.6788991,2.345207879911715,1.5612494995995996,1.8666480653835098,0
7.47348407848952e-08,5.737620487639453e-08,1.3575801815331728e-07,0.9062995870755883,0.42352942,0.5948718,0.6788991,2.9692299558323607,2.356060357495806,1.8844151368961313,0
6.227903398741266e-07,2.434981051101947e-07,7.965519743623776e-07,0.9521310427319885,0.5411765,0.63076925,0.70183486,3.164890033732584,1.9241827716833384,2.05703790890632,0
2.159006511563639e-07,1.3240912788312242e-07,3.6059138744338604e-07,0.9301420430539781,0.46470588,0.5897436,0.6513761,5.3814496188294845,5.302410353372847,5.131168374638363,0
8.303871198321688e-09,5.578867679674866e-08,1.1875873839720837e-06,0.9988959956792226,0.5058824,0.5948718,0.6788991,1.8929694486000912,1.247219128924647,1.3743685418725535,0
1.3784426189214001e-06,1.5693850599765553e-07,2.317996261653789e-07,0.7359426990687249,0.5235294,0.6,0.6834862,1.5452362609131383,1.0973065354098013,1.049781318335648,0
7.47348407848952e-08,1.1675666929879435e-07,4.1863321200783917e-07,0.9603202423773578,0.5117647,0.6051282,0.6788991,1.1547005383792515,1.7320508075688772,1.7320508075688772,0
9.134258318153857e-08,9.27147410056097e-08,2.8214171859818515e-07,0.9444655189543819,0.34117648,0.5641026,0.646789,2.166535841157586,4.0,2.231499907401901,0
3.072432343379025e-07,8.100395564157186e-08,1.2781458090896786e-07,0.7735285447118753,0.5411765,0.6051282,0.6834862,1.1605769149479943,0.9258200997725514,0.9035079029052512,0
2.4911613594965065e-08,1.5909594641046412e-07,1.9093781624896107e-07,0.5529199987169593,0.47058824,0.5846154,0.61926603,8.935140440635365,5.368559264032443,7.095917193451917,0
8.303871198321688e-09,6.75542985828606e-08,4.801906811987028e-07,0.9900548007886177,0.40588236,0.63076925,0.67431194,5.532573994082682,2.912795049432761,0.4330127018922193,0
8.303871198321688e-09,3.125987876278696e-08,8.327053831288652e-08,0.9268623252302021,0.5470588,0.62564105,0.6880734,0.82915619758885,1.3635890143294642,0.4330127018922193,0
4.982322718993013e-08,0.0,1.6607742396643377e-08,1.0,0.3529412,0.574359,0.6559633,3.2379584617471546,2.8284271247461903,1.118033988749895,0
2.2420452235468557e-07,8.736190003776837e-08,1.0511012439339832e-07,0.5560536707757427,0.5058824,0.6051282,0.6880734,1.2856486930664501,1.33608531424537,0.9620913858416694,0
4.068896887177627e-07,1.2715848404530728e-07,2.2827978436896354e-07,0.8304929715824034,0.5117647,0.62051284,0.6788991,2.221775886232151,1.8018150282761778,1.6170833153407598,0
2.159006511563639e-07,7.2855870723132e-08,1.1007220091459009e-07,0.7495995218591665,0.5411765,0.62051284,0.69266057,1.4373989364401722,0.616575453011388,0.2874797872880344,0
9.134258318153857e-08,8.509559453805781e-08,2.2792839412847364e-07,0.9276931593147267,0.5,0.5846154,0.6513761,2.309401076758503,3.304037933599835,2.899952106884219,0
3.653703327261543e-07,9.424228915012822e-08,1.449044276745949e-07,0.7596128705121815,0.48235294,0.61025643,0.6788991,2.90516780926679,2.1095023109728985,1.9899748742132397,0
2.4911613594965065e-08,5.0662391938504726e-08,1.342660271660105e-07,0.9260795002085518,0.47058824,0.61025643,0.6834862,3.2619012860600183,1.746424919657298,0.7810249675906654,0
3.3215484793286753e-08,2.2288893129541703e-08,5.3611010776029424e-08,0.9094779533694837,0.5117647,0.6051282,0.6788991,1.1547005383792515,1.4624940645653535,0.7453559924999298,0
7.47348407848952e-08,4.81093326163805e-08,5.7293243455692916e-08,0.5430452671986505,0.5411765,0.63076925,0.70183486,0.9938079899999067,0.9938079899999067,0.9938079899999067,0
4.151935599160844e-08,3.976040519401511e-08,1.5101789879678612e-07,0.9647187166583094,0.5235294,0.6051282,0.6788991,1.7320508075688772,1.0,1.1055415967851334,0
1.1625419677650364e-07,5.8411931807408496e-08,9.129433948404771e-08,0.7685249134189037,0.4882353,0.5794872,0.6651376,4.054318685056714,3.887077951366553,2.7128168017763383,0
1.112718740575106e-06,1.7269865762895966e-07,2.778667821603132e-07,0.7834014500912927,0.5352941,0.61538464,0.6880734,2.3560603574958057,1.6754868653103978,0.9060141709733547,0
1.7438129516475544e-07,7.540765505587738e-08,1.0588584060219997e-07,0.7020172392313069,0.5470588,0.61025643,0.6880734,1.707825127659933,1.771690968789108,0.6871842709362768,0
7.47348407848952e-08,5.301133021258633e-08,8.108520651751673e-08,0.7566906099296153,0.49411765,0.61538464,0.67431194,2.7255405754769875,1.8405855323893037,1.4568627181693672,0
9.964645437986026e-08,7.798817812437361e-08,1.4246197566088415e-07,0.8368504726940678,0.5294118,0.61025643,0.67431194,1.5362291495737217,1.4177446878757824,1.445683229480096,0
4.151935599160844e-07,1.5450091636579957e-07,4.448471520210194e-07,0.9377494981184348,0.45882353,0.61538464,0.6788991,4.252783535574496,3.3509737306207956,3.7148961647318255,0
1.1625419677650364e-07,5.140716391750573e-08,8.536077649048377e-08,0.7983195978669831,0.41764706,0.5589744,0.6788991,3.1102201510110343,1.9587584572574412,2.864276807966203,0
3.9858581751944104e-07,1.349352936404602e-07,2.510647156799865e-07,0.8432941897809842,0.5,0.61025643,0.66972476,2.773783976992514,2.6849923041732144,2.050385727772475,0
2.4911613594965065e-08,6.679244095426397e-08,7.853546533545303e-08,0.526015653490644,0.5176471,0.6,0.67431194,1.0657403385139377,1.0304020550550783,0.3142696805273545,0
1.303707778136505e-06,1.6543646067235707e-07,2.8812393708705175e-07,0.8187255429059056,0.5352941,0.63076925,0.6880734,6.848844184726841,5.205659313563354,3.788872596902086,0
1.0795032557818195e-07,5.1551685151478065e-08,1.1429493406062689e-07,0.8925033020643932,0.49411765,0.63076925,0.6972477,2.258769757263128,1.4568627181693672,1.355261854357877,0
4.068896887177627e-07,1.1260073450934577e-07,2.108039246699001e-07,0.8453902643654219,0.5117647,0.6051282,0.6788991,2.560975156068485,2.3510303592255033,2.1213203435596424,0
3.9858581751944104e-07,1.164921683965956e-07,1.5146300471621673e-07,0.6391127978270786,0.5411765,0.62051284,0.69266057,1.3234346564680965,2.3025583918608867,1.671196998646187,0
5.812709838825182e-08,3.625916161223488e-08,5.526188444599529e-08,0.754645026634315,0.5176471,0.63589746,0.70183486,1.1055415967851334,0.816496580927726,0.7453559924999298,0
3.3215484793286753e-08,7.136730874452737e-08,1.0378360485373951e-07,0.7260376582267234,0.43529412,0.61025643,0.67431194,2.9154759474226504,2.666341125962693,1.4142135623730951,0
3.1554710553622413e-07,6.492211072736004e-08,1.6386115982004635e-07,0.9181633930713279,0.5235294,0.61538464,0.6880734,1.5184055965240495,0.6236095644623235,0.5527707983925666,0
